name,fuel,capacity_mw,latitude,longitude,commissioning_year
A Lin,Hydro,62,,,2018
A Luoi,Hydro,170,16.2839,107.3589,2012
A Roang,Hydro,,16.12,107.38,
A Vuong,Hydro,210,15.7998,107.6171,2008
Alin B1,Hydro,,16.4042,107.1914,
Alternative energy sources,Renewable,470,,,2020
Alternative energy sources,Renewable,790,,,2021
Alternative energy sources,Renewable,1200,,,2022
Alternative energy sources,Renewable,450,,,2019
Alternative energy sources,Renewable,260,,,2016
Alternative energy sources,Renewable,360,,,2017
Alternative energy sources,Renewable,520,,,2018
Alternative energy sources,Renewable,1000,,,2023
Alternative energy sources,Renewable,3240,,,2028
Alternative energy sources,Renewable,3350,,,2029
Alternative energy sources,Renewable,3530,,,2030
Alternative energy sources,Renewable,2910,,,2027
Alternative energy sources,Renewable,1200,,,2024
Alternative energy sources,Renewable,1800,,,2025
Alternative energy sources,Renewable,2160,,,2026
Amata,Oil,,10.9471,106.9,
An Diem 2,Hydro,,,,
An Khanh,Coal,120,,,
An Khanh I,Coal,,21.5969,105.767,2015
An Khe,Biomass,55,,,2018
An Khe,Hydro,160,,,
An Khe - Kanak,Hydro,,14.0148,108.6796,2009
Ayun Ha,Hydro,,13.5809,108.2592,
Ayun Pa Sugar-Cane,Biomass,,,,
Ayun Thuong 1A,Hydro,,13.9181,108.2333,
Ba Ria,Gas,,10.4891,107.17,
Ba Thuoc 1,Hydro,60,20.3122,105.1619,2016
Ba Thuoc 2,Hydro,80,20.3222,105.3217,2012
Bac Ai,Hydro,600,,,2025
Bac Binh,Hydro,34,11.3711,108.33,2009
Bac Ha,Hydro,90,,,
Bac Lieu,Wind,142,9.1207,105.4445,2018
Bac Lieu 1,Coal,600,,,2030
Bac Me,Hydro,45.5,22.7369,105.3844,2016
Ban Chat,Hydro,220,21.8612,103.8286,2013
Ban Coc,Hydro,,19.5894,104.8749,2009
Ban Mong (Song Hieu),Hydro,60,,,2022
Ban Nhung Small,Hydro,,22.0028,106.5875,
Ban Ra,Hydro,320,22.8439,106.6917,2012
Ban Ve,Hydro,,19.3404,104.4873,2010
Bao Lam 3,Hydro,46,,,2019
Bao Nhai,Hydro,,22.4435,104.2517,
Bau Can,Hydro,,,,
Bauxit Aluminum Factory,Oil,,,,
Bien Ho,Hydro,,,,
Binh Dien,Hydro,44,16.3172,107.5028,2009
Binh Thuan,Wind,,11.12,108.4,
Bourbon,Oil,,10.613,106.49,
Bu Ca Mau,Hydro,,11.8713,106.9768,2009
Buon Kuop,Hydro,280,12.5305,107.9243,2011
Buon Tua Srah,Hydro,86,12.2852,108.0383,2009
Ca Du,Hydro,,15.2714,108.5186,2005
Ca Mau 1,Gas,750,9.242,105.06,
Ca Mau 2,Gas,750,,,
Cai Lan,Oil,,20.9861,107.03,
Cam Pha,Coal,670,,,
Cam Pha 3,Coal,440,,,2020
Cam Pha I,Coal,,21.0063,107.36,
Cam Ranh Baggasse,Biomass,,,,
Cam Son,Hydro,,21.5438,106.5105,1973
Can Don,Hydro,78,11.9689,106.8435,2004
Can Tho,Oil,,10.1,105.72,
Cao Ngan,Coal,115,,,
Chau Thon,Hydro,,19.36,104.47,
Chi Khe,Hydro,41,,,2017
Chi Khe,Hydro,,104.8,19.083,
Chiem Hoa,Hydro,48,22.2056,105.3294,
Chieng Cong,Hydro,,,,
Chieng Cong 1,Hydro,,21.4707,104.1852,
Chieng Cong 2,Hydro,,21.4572,104.2104,
Chieng Ngam Thuong,Hydro,,21.475,103.7778,
Chu Linh And Coc San,Hydro,,22.4119,103.8974,
Coc Dam,Hydro,,22.4431,104.3175,
Coc Ly,Hydro,,22.2985,103.1613,2012
Coc San,Hydro,,22.4144,103.9066,2016
Cong Thanh,Coal,600,,,2020
Cua Dat,Hydro,97,19.8782,105.2731,2010
Da Dang 2,Hydro,34,11.6952,108.2442,2010
Da Dang-Dachomo,Hydro,,,,
Da Den,Hydro,,12.9183,109.1453,
Da Kai,Hydro,,12.0838,108.5953,
Da M'Bri,Hydro,,11.5272,107.6467,
Da Mi,Hydro,175,,,
Da Nhim,Hydro,160,11.8529,108.6058,1964
Da Nhim Extension,Hydro,100,,,2018
Da Nhim Thuong 2,Hydro,,12.1161,108.5852,2010
Dac Me,Hydro,,12.1333,108.313,2011
Dai Nga,Hydro,,11.4219,107.8754,2015
Dai Ninh,Hydro,300,11.6499,108.3202,2008
Dak Doa,Hydro,,14.1958,108.105,2010
Dak Glun,Hydro,,12.0225,107.1783,2011
Dak Glun 2 And 3,Hydro,,12.0925,107.3464,
Dak Gret,Hydro,,,,2015
Dak Hnol,Hydro,,13.9375,108.2139,
Dak Lay,Hydro,,14.7979,108.0074,2015
Dak Lo,Hydro,,14.7306,108.3319,2016
Dak Me 1,Hydro,,12.1375,108.3222,
Dak Mek 3,Hydro,,,,
Dak Mi 1,Hydro,54,,,2018
Dak Mi 1-1A,Hydro,,15.215,107.8192,
Dak Mi 2,Hydro,98,15.2961,107.8161,2016
Dak Mi 3,Hydro,63,15.3375,107.8326,2016
Dak Mi 4,Hydro,208,15.4575,107.9155,2012
Dak Mi 4C,Hydro,,15.4639,107.9289,2012
Dak N'Teng,Hydro,,12.2167,107.9792,2011
Dak Ne,Hydro,,14.6164,108.154,2010
Dak Nong 1,Hydro,,,,
Dak Nong 2,Hydro,,11.9433,107.6667,2016
Dak Pi Hao 4,Hydro,,,,
Dak Pia,Hydro,,14.6651,108.1593,2012
Dak Po Ne,Hydro,,14.5759,108.3049,2009
Dak Po Ne 2,Hydro,,14.526,108.2992,2008
Dak Pone,Hydro,,,,
Dak Pring,Hydro,,15.6181,107.5528,
Dak Psi 3,Hydro,,14.6613,107.9367,2012
Dak Psi 3 And 4,Hydro,,14.775,107.9972,
Dak Psi 4,Hydro,,14.7684,108.0027,2010
Dak Psi 5,Hydro,,14.6592,107.9347,2014
Dak Re,Hydro,60,,,2022
Dak Ro Sa,Hydro,,14.7473,107.8358,2007
Dak Rong 4,Hydro,,16.363,106.521,
Dak Ru,Hydro,,11.9522,107.4042,2008
Dak Rung,Hydro,,12.1538,107.6237,
Dak Rung 1,Hydro,,12.125,107.6333,2010
Dak Sin 1,Hydro,,11.8186,107.459,2015
Dak Srong,Hydro,,13.7659,108.5236,2010
Dak Srong 2,Hydro,,13.6958,108.5583,2010
Dak Srong 2A,Hydro,,13.6944,108.565,2011
Dak Srong 3A,Hydro,,13.3508,108.5306,2014
Dak Srong 3B,Hydro,,13.3222,108.5167,2012
Dak Ter 1,Hydro,,,,2015
Dak U,Hydro,,,,2009
Dakdrinh,Hydro,125,15.0156,108.3953,2014
Dakr'tih,Hydro,144,,,
Dakrong 2,Hydro,,,,
Dakrong 3,Hydro,,16.5306,106.9611,
Dakrosa2,Hydro,,14.7178,107.8194,
Dakrtih,Hydro,,11.9131,107.6717,
Dam B'Ri 1,Hydro,,11.6083,107.72,
Dam'Bri,Hydro,75,,,
Don Duong,Hydro,300,,,2030
Dong Nai 2,Hydro,70,,,
Dong Nai 3,Hydro,180,,,
Dong Nai 4,Hydro,340,,,
Dong Nai 5,Hydro,150,,,
Dong Phu Yen,Hydro,300,,,2030
Dung Quat 1,Gas,750,,,2023
Dung Quat 2,Gas,750,,,2024
Duyen Hai 1,Coal,1245,,,
Duyen Hai 2,Coal,1200,,,2021
Duyen Hai 3,Coal,600,,,2017
Duyen Hai 3 Extension,Coal,660,,,2019
Formosa Dong Nai,Coal,450,,,2016
Formosa Ha Tinh,Coal,676,,,2020
Hai Duong,Coal,600,,,2020
Hai Duong,Coal,600,,,2021
Hai Ha 1,Coal,150,,,2019
Hai Ha 2,Coal,750,,,2022
Hai Ha 3,Coal,600,,,2025
Hai Ha 4,Coal,600,,,2028
Hai Phong,Coal,1200,,,
Hai Phong 3,Coal,600,,,2026
Ham Thuan,Hydro,300,,,
Hanbaram,Wind,117,,,2020
Hoa Binh,Hydro,1920,,,
Hoa Binh Extension,Hydro,240,,,2022
Hoi Xuan,Hydro,102,,,2018
Hua Na,Hydro,180,,,
Huoi Quang,Hydro,260,,,2016
Huoi Tao,Hydro,180,,,2030
Huong Dien,Hydro,81,,,
Huong Son,Hydro,33,,,
Ialy,Hydro,720,,,
Ialy Extenstion,Hydro,360,,,2020
KCP,Biomass,30,,,2018
Kanak,Hydro,13,,,
Khai Long (Ca Mau),Wind,100,,,2018
Khe Bo,Hydro,100,,,
Kien Giang 1,Gas,750,,,2021
Kien Giang 2,Gas,750,,,2022
Krong H'nang,Hydro,64,,,
La Ngau,Hydro,36,,,2018
Lai Chau,Hydro,1200,,,
Lai Chau,Hydro,800,,,2016
Lee and Man,Biomass,125,,,2018
Long An 1,Coal,600,,,2025
Long An 2,Coal,800,,,2026
Long An 2,Coal,800,,,2027
Long Phu 1,Coal,600,,,2019
Long Phu 2,Coal,660,,,2022
Long Phu 3,Coal,1200,,,2022
Long Son,Gas,150,,,2018
Long Tao,Hydro,42,,,2017
Luc Nam,Coal,50,,,2023
Luc Nam 1,Coal,50,,,2022
Mao Khe,Coal,440,,,
Mien Trung 1,Gas,750,,,2023
Mien Trung 2,Gas,750,,,2024
Mien Trung 3,Gas,750,,,2026
Mong Duong,Coal,1080,,,
Mong Duong 2,Coal,1200,,,
Muong Hum,Hydro,32,,,
My Ly,Hydro,250,,,2021
Na Duong,Coal,111.2,,,
Na Duong 2,Coal,110,,,2019
Nam Chien 1,Hydro,200,,,
Nam Chien 2,Hydro,32,,,
"Nam Cum 1, 4, 5",Hydro,65,,,2019
"Nam Cum 2, 3, 6",Hydro,54,,,2020
Nam Dinh 1,Coal,600,,,2022
Nam Mo,Hydro,72,,,2026
Nam Muc,Hydro,44,,,
Nam Na 2,Hydro,66,,,
Nam Na 3,Hydro,84,,,2016
Nam Na 3,Hydro,84,,,
Nam Pha 5,Hydro,35,,,2020
Nam Phang,Hydro,36,,,
Nam Toong,Hydro,34,,,2016
Nghi Son 1,Coal,600,,,
Nghi Son 2,Coal,600,,,2022
Ngoi Phat,Hydro,72,,,
Nhan Hac,Hydro,59,,,2016
Nho Que 1,Hydro,32,,,2016
Nho Que 2,Hydro,48,,,
Nho Que 2,Hydro,48,,,2016
Nho Que 3,Hydro,110,,,
Nhon Trach 1,Gas,450,,,
Nhon Trach 2,Gas,750,,,
Ninh Thuan 1,Nuclear,1200,,,2029
Ninh Thuan 2,Nuclear,1100,,,2030
O Mon 2,Gas,750,,,2026
O Mon 3,Gas,750,,,2020
O Mon 4,Gas,750,,,2021
Pac Ma,Hydro,140,,,2019
Pha Lai 1,Coal,440,,,
Pha Lai 2,Coal,600,,,
Phu My 1,Gas,1059,,,
Phu My 2.1,Gas,860,,,
Phu My 2.2,Gas,720,,,
Phu My 3,Gas,720,,,
Phu My 4,Gas,440,,,
Phu Tho,Hydro,105,,,2023
Pleikrong,Hydro,100,,,
Quang Ninh,Coal,1200,,,
Quang Ninh 3,Coal,600,,,2029
Quang Ninh 3,Coal,600,,,2030
Quang Trach 1,Coal,600,,,2022
Quang Trach 1,Coal,600,,,2021
Quang Trach 2,Coal,600,,,2028
Quang Trach 2,Coal,600,,,2029
Quang Tri,Hydro,64,,,
Quang Tri,Coal,600,,,2024
Quynh Lap 1,Coal,600,,,2023
Quynh Lap 2,Coal,600,,,2027
Quynh Lap 2,Coal,600,,,2026
Rang Dong,Coal,100,,,2025
Se San 3,Hydro,260,,,
Se San 3A,Hydro,108,,,
Se San 4,Hydro,360,,,
Se San 4A,Hydro,63,,,
Sekaman 1,Hydro,290,,,2016
Sekaman 4,Hydro,80,,,2018
Sekaman Xanxay,Hydro,32,,,2017
Soc Trang,Wind,99,,,2019
Son Dong,Coal,220,,,
Son La,Hydro,2400,,,
Son My 1,Gas,750,,,2027
Son My 2,Gas,750,,,2025
Song Ba Ha,Hydro,220,,,
Song Bac,Hydro,42,,,
Song Bung 2,Hydro,100,,,2016
Song Bung 4,Hydro,156,,,
Song Bung 4A,Hydro,49,,,
Song Bung 5,Hydro,57,,,
Song Con 2,Hydro,63,,,
Song Giang 2,Hydro,37,,,
Song Hau 2,Coal,1000,,,2022
Song Hau 2,Coal,1000,,,2021
Song Hinh,Hydro,70,,,
Song Lo 6,Hydro,44,,,2018
Song Mien 4,Hydro,38,,,2018
Song Tranh 2,Hydro,190,,,
Song Tranh 3,Hydro,62,,,2016
Song Tranh 4,Hydro,48,,,2016
Srepok 3,Hydro,220,,,
Srepok 4,Hydro,80,,,
Srepok 4A,Hydro,64,,,
Srok Phu Mieng,Hydro,51,,,
Su Pan 2,Hydro,34,,,
Ta Thang,Hydro,60,,,
Tan Phuoc 1,Coal,600,,,2028
Tan Phuoc 2,Coal,600,,,2029
Tan Phuoc 2,Coal,600,,,2028
Thac Ba,Hydro,120,,,
Thac Mo,Hydro,150,,,
Thac Mo Extension,Hydro,75,,,2017
Thai An,Hydro,82,,,
Thai Binh 1,Coal,600,,,2017
Thai Binh 2,Coal,600,,,2017
